param n:=6; #nodes
param final:=4; #id final node
param m:=2; #number of actions

param K:=1000;
#set N := 1..n;
#set M := 1..m;
param t:		#transitions
	  1 2 3 4 5 6:=
	1 0 1 0 0 0 0
	2 0 0 1 0 0 0
	3 0 1 0 1 0 0
	4 0 0 0 0 0 0
	5 0 0 0 0 0 1
	6 0 0 0 0 1 0
;
param a:= [*,*,1]: #transitions labels for action 1
			 1  2  3 4 5 6:=		
	       1 0  1  0 0 0 0
		   2 0  0  0 0 0 0
		   3 0  0  0 0 0 0
		   4 0  0  0 0 0 0
		   5 0  0  0 0 0 -1
		   6 0  0  0 0 0 0
	[*,*,2]: 1 2 3 4 5 6:=     #transition labels for action 2
	       1 0 0 0 0 0 0
		   2 0 0 0 0 0 0
		   3 0 1 0 -1 0 0 
		   4 0 0 0 0 0 0
		   5 0 0 0 0 0 0
		   6 0 0 0 0 1 0
		   ;
